bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Health & Fitness","/explore/health-fitness","/projects/wondertool-multifunction-cleaner-virus-combat","2019-03-25T23:59:59-07:00","USD","42654","1.069466666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lyokzowqzhtuxoukpzax.jpg","true","false","null","2019-03-24T23:59:59-07:00","null","null","null","null","null","2433466","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","WONDERTOOL™/// washes quickly without detergent/// cleans everything, even the virus around","[""air purifiers"",""sports"",""camping"",""babies"",""safety""]","WONDERTOOL - Multifunction Cleaner & Virus Combat"
"null","Energy & Green Tech","/explore/energy-green-tech","/projects/the-passive-house-ice-box-challenge","2017-10-08T23:59:59-07:00","USD","1500","0.75","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/golvnazk4cpmceh5wyey.jpg","false","false","null","2017-08-24T20:27:12-07:00","null","null","null","null","concept","2199931","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A live challenge between a Passive House and a Code Building","[""other""]","The Passive House Ice Box Challenge"
"null","Writing & Publishing","/explore/writing-publishing","/projects/tad-williams-is-making-merch","2018-04-04T23:59:59-07:00","USD","23406","1.07755","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/auoy5gqogei3basow43h.jpg","true","false","null","2018-03-07T10:34:33-08:00","null","null","null","null","null","2337191","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Tad Williams and friends are making merchandise from the worlds of Osten Ard and Otherland","[""shirts""]","Tad Williams Is Making Merch..."
"null","Music","/explore/music","/projects/the-moon-an-instrumental-healing-album","2021-07-10T23:59:59-07:00","USD","5393","4.51395139514","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/b2bri8he0eersrltka74.jpg","true","false","null","2021-06-01T00:00:00-07:00","null","null","null","null","null","2681714","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A music album that has healing frequencies of 432hz.","[""album"",""female founders"",""keyboards"",""recording"",""women""]","The Moon: an instrumental healing album"
"null","Comics","/explore/comics","/projects/masks-comic-book-issue-1","2015-08-31T23:59:59-07:00","USD","117","0.012540192926","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kpvn6rpli85lnas3cruc.jpg","false","false","null","2015-07-13T08:38:06-07:00","null","null","null","null","null","1350987","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A dark and gritty supernatural sci-fi western by Daniel Warner by Matias Zeballos.","[""other""]","Masks comic book Issue #1"
"null","Education","/explore/education","/projects/children-s-garden","2017-01-01T23:59:59-08:00","USD","366","0.00732","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/v9jn3cvln0wehisyjbf3.jpg","false","false","null","2016-11-02T16:42:44-07:00","null","null","null","null","null","1940394","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Children's Garden is proposed to be a natural learning environment for children in Lithuania.","[""kids""]","Children's Garden"
"null","Human Rights","/explore/human-rights","/projects/human-empowerment-network","2013-11-26T23:59:59-08:00","USD","70","0.014","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/csklrurkdctolxguqjt8.jpg","false","false","null","2013-11-08T11:13:57-08:00","null","null","null","null","null","579079","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A platform where information and skills are shared in a grassroots movement, fostering  innovation for people, organizations, and communities. Veterans-owned.","[""other""]","Human Empowerment Network"
"null","Web Series & TV Shows","/explore/web-series-tv-shows","/projects/marching-order-web-series","2021-09-01T23:59:59-07:00","USD","1140","0.456","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/oflzjsr7t7sa4anazbcw.jpg","false","false","null","2021-07-25T00:00:00-07:00","null","null","null","null","null","2693121","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A pre-recorded live-play D&D game in six 2-hour episodes. Filmed in Montana by Montanans.","[""fantasy"",""adventure""]","Marching Order Web Series"
"null","Film","/explore/film","/projects/soup-festival-run","2021-10-03T23:59:59-07:00","USD","10","0.02","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bwznw0wigk08aydiznzr.jpg","false","false","null","2021-08-04T00:00:00-07:00","null","null","null","null","null","2695696","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Watch my latest and greatest film 'SOUP!' for just $3 and help cover my film festival entrance fees!","[""horror"",""thriller"",""comedy""]","'SOUP!' Festival Run"
"null","Education","/explore/education","/projects/yellow-valentine","2017-02-21T23:59:59-08:00","USD","1105","0.1105","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dpnkfoqafh8xilqejaxo.jpg","false","false","null","2017-02-06T14:58:46-08:00","null","null","null","null","null","607186","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","It's Valentine's Day again and with Valentine’s Day comes the YM Valentine's day fundraiser","[""other""]","Yellow Valentine"
